Noun,Gender,Plurality
Word,n,
Vanille,f,no plural
Genfer,m,Genfer
Waschmaschine,f,Waschmaschinen
Logo,m,Logos
Limit,n,Limits
Zusammenbruch,m,Zusammenbrüche
Makler,m,Makler
Fahndung,f,Fahndungen
Darm,m,Därme
Aufschrei,m,Aufschreie
Nippel,m,Nippel
Tyrann,m,Tyrannen
Vormund,m,Vormünder
Pelz,m,Pelze
Marionette,f,Marionetten
Bestechung,f,Bestechungen
Regime,n,Regime
Lachs,m,Lachse
Schotte,m,Schotten
Eintopf,m,Eintöpfe
Gratulation,f,Gratulationen
Pointe,f,Pointen
Bademantel,m,Bademäntel
Paragraph,m,Paragraphen
Pickel,m,Pickel
Einklang,m,Einklänge
Rektor,m,Rektoren
Alligator,m,Alligatoren
Barbier,m,Barbiere
Stamm,m,Stämme
Lehrling,m,Lehrlinge
Tanne,f,Tannen
Kran,m,Kräne
Kollektion,f,Kollektionen
Schlagzeug,n,Schlagzeuge
Horde,f,Horden
Patsche,f,Patschen
Kamel,n,Kamele
Befugnis,f,Befugnisse
Farce,f,Farcen
Unterhalt,m,no plural
Getriebe,n,Getriebe
Einzelhaft,f,no plural
Schi,m,Schier
Entschlossenheit,f,no plural
Kopfgeld,n,Kopfgelder
Verurteilung,f,Verurteilungen
Prostitution,f,no plural
Wohnheim,n,Wohnheime
Serum,n,Seren
Karussell,n,Karusselle
Eintrag,m,Einträge
Elch,m,Elche
Kerker,m,Kerker
Arche,f,Archen
Verwandlung,f,Verwandlungen
Durchfall,m,Durchfälle
Tresen,m,Tresen
Landkarte,f,Landkarten
Begierde,f,Begierden
Denkmal,n,Denkmale
Demo,f,Demos
Blickwinkel,m,Blickwinkel
Vers,m,Verse
Yoga,n,no plural
Ensemble,n,Ensembles
Reklame,f,Reklamen
Beil,n,Beile
Ruin,m,no plural
Mast,m,Masten
Trauung,f,Trauungen
Treppenhaus,n,Treppenhäuser
Anfall,m,Anfälle
Hochstapler,m,Hochstapler
Wirtshaus,n,Wirtshäuser
Spatz,m,Spatzen
Vorstellungskraft,f,no plural
Gruft,f,Grüfte
Angsthase,m,Angsthasen
Abdruck,m,Abdrücke
Jackpot,m,Jackpots
Puzzle,n,Puzzles
Schmerzmittel,n,Schmerzmittel
Drehort,m,Drehorte
Todesangst,f,Todesängste
Schminke,f,Schminken
Rekrut,m,Rekruten
Stander,m,Stander
Fachmann,m,Fachmänner
Klammer,f,Klammern
Rohre,R,no plural
Schimpanse,m,Schimpansen
Torpedo,m,Torpedos
Unkraut,n,Unkräuter
Abwurf,m,Abwürfe
Hackfleisch,n,no plural
Finanzierung,f,Finanzierungen
Waggon,m,Waggons
Falke,m,Falken
Cello,n,Cellos
Automatik,f,Automatiken
Favorit,m,Favoriten
Zauberstab,m,Zauberstäbe
Ausschnitt,m,Ausschnitte
Beihilfe,f,Beihilfen
Schaffner,m,Schaffner
Henker,m,Henker
Wahnvorstellung,f,Wahnvorstellungen
Taille,f,Taillen
Polizeirevier,n,Polizeireviere
Fass,n,Fässer
Subjekt,n,Subjekte
Buchhandlung,f,Buchhandlungen
Kreuzfahrt,f,Kreuzfahrten
Abbild,n,Abbilder
Kanalisation,f,Kanalisationen
Karo,n,Karos
Rasse,f,Rassen
Zweig,m,Zweige
Kaktus,m,Kakteen
Vorstrafe,f,Vorstrafen
Gemahl,m,Gemahle
Brenner,m,Brenner
Demonstrant,m,Demonstranten
Stiel,m,Stiele
Einfall,m,Einfälle
Atom,n,Atome
Finanzamt,n,Finanzämter
Gage,f,Gagen
Langweiler,m,Langweiler
Jaguar,m,Jaguare
Stinktier,n,Stinktiere
Widerrede,f,Widerreden
Todesfall,m,Todesfälle
Begnadigung,f,Begnadigungen
Schuster,m,Schuster
Zeitlang,f,no plural
Lagerraum,m,Lagerräume
Match,n,Matches
Aufschub,m,Aufschübe
Kerbe,f,Kerben
Funkspruch,m,Funksprüche
Amnesie,f,Amnesien
Anleitung,f,Anleitungen
Redakteur,m,Redakteure
Abrechnung,f,Abrechnungen
Leuchtturm,m,Leuchttürme
Spekulation,f,Spekulationen
Hinterhof,m,Hinterhöfe
Wiedergeburt,f,Wiedergeburten
Reue,f,no plural
Klebeband,n,Klebebänder
Genesung,f,Genesungen
Biker,m,Biker
Schwarm,m,Schwärme
Bohrer,m,Bohrer
Klon,m,Klone
Drucker,m,Drucker
Orchidee,f,Orchideen
Schlitz,m,Schlitze
Marmor,m,Marmore
Detektiv,m,Detektive
Trauzeuge,m,Trauzeugen
Flugbahn,f,Flugbahnen
Logbuch,n,Logbücher
Engelchen,n,Engelchen
Lebensweise,f,Lebensweisen
Heuchelei,f,Heucheleien
Flugblatt,n,Flugblätter
Genugtuung,f,Genugtuungen
Damentoilette,f,Damentoiletten
Salbe,f,Salben
Kork,m,no plural
Kante,f,Kanten
Ohrfeige,f,Ohrfeigen
Epidemie,f,Epidemien
Schokoriegel,m,Schokoriegel
Bruchteil,m,Bruchteile
Alphabet,n,Alphabete
Regenmantel,m,Regenmäntel
Maskottchen,n,Maskottchen
Wendung,f,Wendungen
Ersatzteil,n,Ersatzteile
Junkie,m,Junkies
Fete,f,Feten
Manipulation,f,Manipulationen
Vorsitz,m,Vorsitze
Swimmingpool,m,Swimmingpools
Staubsauger,m,Staubsauger
Bauchschmerz,m,Bauchschmerzen
Morddezernat,n,Morddezernate
Balkan,m,
Klopapier,n,no plural
Gutschein,m,Gutscheine
Drogenhandel,m,no plural
Karneval,m,no plural
Intensivstation,f,Intensivstationen
Abteil,n,Abteile
Delphin,m,Delphine
Lotterie,f,Lotterien
Flegel,m,Flegel
Laus,f,Läuse
Sage,f,Sagen
Mahl,n,Mähler
Spott,m,no plural
Kommode,f,Kommoden
Trance,f,Trancen
Mitgift,f,Mitgiften
Postbote,m,Postboten
Befriedigung,f,Befriedigungen
Vorahnung,f,Vorahnungen
Motivation,f,Motivationen
Wohnsitz,m,Wohnsitze
Fanatiker,m,Fanatiker
Fusion,f,Fusionen
Vorort,m,Vororte
Duo,n,Duos
Buchladen,m,Buchläden
Erneuerung,f,Erneuerungen
Beweismittel,n,Beweismittel
Bahnsteig,m,Bahnsteige
Simulation,f,Simulationen
Adaption,f,Adaptionen
Blockade,f,Blockaden
Kavalier,m,Kavaliere
Vagabund,m,Vagabunden
Reisende,f,Reisende
Umlauf,m,Umläufe
Bauernhof,m,Bauernhöfe
Mythologie,f,Mythologien
Achterbahn,f,Achterbahnen
Abmarsch,m,Abmärsche
Ohrring,m,Ohrringe
Puder,m,Puder
Verdienst,n,Verdienste
Klumpen,m,Klumpen
Markierung,f,Markierungen
Erniedrigung,f,Erniedrigungen
Hebamme,f,Hebammen
Jahrmarkt,m,Jahrmärkte
Fegefeuer,n,Fegefeuer
Knochenmark,n,no plural
Sarg,m,Särge
Fehlfunktion,f,Fehlfunktionen
Sabbat,m,Sabbate
Marathon,m,Marathons
Geldstrafe,f,Geldstrafen
Reflex,m,Reflexe
Zimmermann,m,Zimmermänner
Pein,f,Peinen
Verzug,m,Verzüge
Ozean,m,Ozeane
Mayonnaise,f,Mayonnaisen
Gasthaus,n,Gasthäuser
Pantoffel,m,Pantoffeln
Rassist,m,Rassisten
Plankton,n,no plural
Kreuzer,m,Kreuzer
Laufbahn,f,Laufbahnen
Blasphemie,f,Blasphemien
Mix,m,Mixe
Schriftrolle,f,Schriftrollen
Wappen,n,Wappen
Schauplatz,m,Schauplätze
Plasma,n,Plasmen
Taugenichts,m,Taugenichtse
Scherbe,f,Scherben
Kittel,m,Kittel
Katholik,m,Katholiken
Zensur,f,Zensuren
Kapitalismus,m,no plural
Schraubenzieher,m,Schraubenzieher
Mundgeruch,m,Mundgerüche
Foul,n,Fouls
Filmmaterial,n,Filmmaterialien
Krampf,m,Krämpfe
Kassette,f,Kassetten
Balg,m,Bälge
Kolumbien,n,ien
Freiraum,m,Freiräume
Artefakt,n,Artefakte
Traktor,m,Traktoren
Stich,m,Stiche
Miene,f,Mienen
Punsch,m,Punsche
Kabinett,n,Kabinette
Zugabe,f,Zugaben
Abstammung,f,Abstammungen
Korsett,n,Korsette
Ausstrahlung,f,Ausstrahlungen
Rindfleisch,n,no plural
Vorgehensweise,f,Vorgehensweisen
Tollwut,f,no plural
Schlachter,m,Schlachter
Erfrischung,f,Erfrischungen
Apostel,m,Apostel
Apfelkuchen,m,Apfelkuchen
Fundament,n,Fundamente
Geleit,n,Geleite
Behauptung,f,Behauptungen
Filiale,f,Filialen
Verpflegung,f,Verpflegungen
Vorkehrung,f,Vorkehrungen
Rasiermesser,n,Rasiermesser
Geheimhaltung,f,no plural
Raumschiff,n,Raumschiffe
Kies,m,Kiese
Sekte,f,Sekten
Stichwort,n,Stichwörter
Posaune,f,Posaunen
Spitzel,m,Spitzel
Kraut,n,Kräuter
Karawane,f,Karawanen
Delle,f,Dellen
Klischee,n,Klischees
Anziehungskraft,f,Anziehungskräfte
Curry,n,Currys
Schwarzmarkt,m,Schwarzmärkte
Abbruch,m,Abbrüche
Skalpell,n,Skalpelle
Toilettenpapier,n,no plural
Anrufer,m,Anrufer
Bezeichnung,f,Bezeichnungen
Kelch,m,Kelche
Vorliebe,f,Vorlieben
Narkose,f,Narkosen
Eroberung,f,Eroberungen
Kurzschluss,m,Kurzschlüsse
Gefolge,n,Gefolge
Faulpelz,m,Faulpelze
Gurke,f,Gurken
Turnhalle,f,Turnhallen
Rivale,m,Rivalen
Steinbruch,m,Steinbrüche
Kapuze,f,Kapuzen
Falschgeld,n,Falschgelder
Knacker,m,Knacker
Kanne,f,Kannen
Gelaber,n,no plural
Pyramide,f,Pyramiden
Spielplatz,m,Spielplätze
Plakat,n,Plakate
Gemetzel,n,Gemetzel
Wucht,f,
Hausherr,m,Hausherren
Fluchtweg,m,Fluchtwege
Buffet,n,Buffets
Vorabend,m,Vorabende
Enkelkind,n,Enkelkinder
Haftstrafe,f,Haftstrafen
Aufschlag,m,Aufschläge
Protein,n,Proteine
Beruhigung,f,Beruhigungen
Kraftwerk,n,Kraftwerke
Splitter,m,Splitter
Courage,f,no plural
Joghurt,(,Joghurts
Moderator,m,Moderatoren
Dichtung,f,Dichtungen
Stereoanlage,f,Stereoanlagen
Milz,f,Milzen
Comic,m,Comics
Sperrgebiet,n,Sperrgebiete
Adoption,f,Adoptionen
Sims,m,Simse
Moos,n,Moose
Urne,f,Urnen
Chemiker,m,Chemiker
Sirup,m,Sirupe
Opium,n,no plural
Talisman,m,Talismane
Zement,m,Zemente
Seelenklempner,m,Seelenklempner
Gleichheit,f,Gleichheiten
Reservat,n,Reservate
Anstellung,f,Anstellungen
Pot,m,no plural
Abteilungsleiter,m,Abteilungsleiter
Schub,m,Schübe
Unterbewusstsein,n,no plural
Lehrbuch,n,Lehrbücher
Verwandtschaft,f,Verwandtschaften
Fiktion,f,Fiktionen
Kupplung,f,Kupplungen
Lawine,f,Lawinen
Eifer,m,no plural
Ekstase,f,Ekstasen
Saat,f,Saaten
Zahnstocher,m,Zahnstocher
Arsenal,n,Arsenale
Kreuzzug,m,Kreuzzüge
Revanche,f,Revanchen
Vorrang,m,Vorränge
Rekord,m,Rekorde
Funke,m,Funken
Kolben,m,Kolben
Mixer,m,Mixer
Bewachung,f,Bewachungen
Badeanzug,m,Badeanzüge
Mitmensch,m,Mitmenschen
Copyright,n,Copyrights
Chrom,n,no plural
Sternschnuppe,f,Sternschnuppen
Durchsuchung,f,Durchsuchungen
Sporthalle,f,Sporthallen
Refrain,m,Refrains
Flammenwerfer,m,Flammenwerfer
Parole,f,Parolen
Mond,m,nd
Christentum,n,Christentümer
Autopilot,m,Autopiloten
Hummel,f,Hummeln
Apotheker,m,Apotheker
Komplott,n,Komplotte
Krieger,m,Krieger
Transfer,m,Transfers
Most,m,Moste
Fiasko,n,Fiaskos
Bosnien,n,n
Eroberer,m,Eroberer
Totenkopf,m,Totenköpfe
Patriotismus,m,no plural
Kranz,m,Kränze
Feindseligkeit,f,Feindseligkeiten
Einzug,m,Einzüge
Statthalter,m,Statthalter
Popo,m,Popos
Volt,n,Volts
Suchtrupp,m,Suchtrupps
Unterfangen,n,Unterfangen
Juwelier,m,Juweliere
Weber,m,Weber
Portrait,n,Portraits
Abzweigung,f,Abzweigungen
Rettungsboot,n,Rettungsboote
Schauspielerei,f,Schauspielereien
Requisit,n,Requisiten
Hering,m,Heringe
Redensart,f,Redensarten
Attrappe,f,Attrappen
Jockey,m,Jockeys
Ventilator,m,Ventilatoren
Gewissensbiss,m,Gewissensbisse
Bewunderer,m,Bewunderer
Arrangement,n,Arrangements
Spinat,m,Spinate
Depot,n,Depots
Operationssaal,m,Operationssäle
Blech,n,Bleche
Patriot,m,Patrioten
Gestein,n,Gesteine
Wunderkind,n,Wunderkinder
Magd,f,Mägde
Vergaser,m,Vergaser
Schaufenster,n,Schaufenster
Uhrwerk,n,Uhrwerke
Petroleum,n,no plural
Denkweise,f,Denkweisen
Jacht,f,Jachten
Dossier,n,Dossiers
Waffel,f,Waffeln
Sprengung,f,Sprengungen
Gram,m,no plural
Zuckerwatte,f,Zuckerwatten
Mathematiker,m,Mathematiker
Zauberspruch,m,Zaubersprüche
Partikel,f,Partikeln
Vergessenheit,f,no plural
Schutzschild,m,Schutzschilde
Nobelpreis,m,Nobelpreise
Meineid,m,Meineide
Telefonat,n,Telefonate
Kleiderschrank,m,Kleiderschränke
Oberschenkel,m,Oberschenkel
Kohlendioxid,n,no plural
Ballast,m,Ballaste
Luftschleuse,f,Luftschleusen
Abschuss,m,Abschüsse
Erektion,f,Erektionen
Lokomotive,f,Lokomotiven
Raubtier,n,Raubtiere
Sonnenbrand,m,Sonnenbrände
Deal,m,Deals
Brut,f,Bruten
Alge,f,Algen
Hygiene,f,no plural
Kot,m,Kote
Gequatsche,n,no plural
Fanfare,f,Fanfaren
Biographie,f,Biographien
Frustration,f,Frustrationen
Webseite,f,Webseiten
Pforte,f,Pforten
Exempel,n,Exempel
Meute,f,Meuten
Tiefpunkt,m,Tiefpunkte
Plunder,m,Plundern
Set,n,no plural
Streuner,m,Streuner
Orgel,f,Orgeln
Ration,f,Rationen
Menschenseele,f,Menschenseelen
Unterredung,f,Unterredungen
Widmung,f,Widmungen
Deserteur,m,Deserteure
Besteck,n,Bestecke
Abneigung,f,Abneigungen
Trommelwirbel,m,Trommelwirbel
Zufluchtsort,m,Zufluchtsorte
Romantiker,m,Romantiker
Macke,f,Macken
Faschismus,m,no plural
Foyer,n,Foyers
Lava,f,
Schlafsack,m,Schlafsäcke
Schauer,m,Schauer
Vorzug,m,Vorzüge
Spionage,f,no plural
Barriere,f,Barrieren
Kapsel,f,Kapseln
Paddel,n,Paddel
Blickfeld,n,Blickfelder
Schwert,n,Schwerter
Slogan,m,Slogans
Schlagzeuger,m,Schlagzeuger
Kruste,f,Krusten
Modus,m,Modi
Kollision,f,Kollisionen
Navigator,m,Navigatoren
Verzeichnis,n,Verzeichnisse
Serbien,n,n
Dirne,f,Dirnen
Erbe,n,no plural
Streber,m,Streber
Bit,n,Bits
Bitterkeit,f,Bitterkeiten
Aussprache,f,Aussprachen
Faser,f,Fasern
Pate,m,Paten
Phase,f,Phasen
Huf,m,Hufe
Lateinamerika,n,amerika
Tapete,f,Tapeten
Festplatte,f,Festplatten
Petition,f,Petitionen
Strophe,f,Strophen
Konfrontation,f,Konfrontationen
Herausgeber,m,Herausgeber
Hardware,f,no plural
Steuermann,m,Steuermänner
Spurensicherung,f,Spurensicherungen
Kupfer,n,no plural
Plutonium,n,no plural
Socke,f,Socken
Kluft,f,Klüfte
Bildhauer,m,Bildhauer
Ernennung,f,Ernennungen
Pokal,m,Pokale
Hinterteil,n,Hinterteile
Navigation,f,no plural
Ausbeutung,f,Ausbeutungen
Orakel,n,Orakel
Slum,m,Slums
Verwechslung,f,Verwechslungen
Hehler,m,Hehler
Tagung,f,Tagungen
Kleinkind,n,Kleinkinder
Maschinerie,f,Maschinerien
Appell,m,Appelle
Armbanduhr,f,Armbanduhren
Kittchen,n,Kittchen
Henne,f,Hennen
Verfolger,m,Verfolger
Kost,f,no plural
Gaul,m,Gäule
Roulette,n,Roulettes
Pose,f,Posen
Hosentasche,f,Hosentaschen
Arterie,f,Arterien
Karat,n,Karate
Trumpf,m,Trümpfe
Rudel,n,Rudel
Fluglinie,f,Fluglinien
Schwertkampf,m,Schwertkämpfe
Horoskop,n,Horoskope
Stickstoff,m,no plural
Gebiss,n,Gebisse
Schema,n,Schemata
Rasierer,m,Rasierer
Koje,f,Kojen
Zusammenfassung,f,Zusammenfassungen
Geschoss,n,Geschosse
Partisan,m,Partisanen
Bubi,p,only
Schwadron,f,Schwadronen
Mappe,f,Mappen
Wendepunkt,m,Wendepunkte
Motte,f,Motten
Dialog,m,Dialoge
Amnestie,f,Amnestien
Pilz,m,Pilze
Gladiator,m,Gladiatoren
Ziffer,f,Ziffern
Abschlussfeier,f,Abschlussfeiern
Transvestit,m,Transvestiten
Lagune,f,Lagunen
Zepter,m,Zepter
Skifahren,n,no plural
Verdauung,f,no plural
Kokosnuss,f,Kokosnüsse
Transaktion,f,Transaktionen
Ultimatum,n,Ultimaten
Rehabilitation,f,Rehabilitationen
Bistro,n,Bistros
Kettenreaktion,f,Kettenreaktionen
Sozialhilfe,f,Sozialhilfen
Vorsatz,m,Vorsätze
Misserfolg,m,Misserfolge
Jahrbuch,n,Jahrbücher
Schwalbe,f,Schwalben
Segler,m,Segler
Rollbahn,f,Rollbahnen
Tang,m,Tange
Kulisse,f,Kulissen
Tentakel,m,el
Karpfen,m,Karpfen
Jalousie,f,Jalousien
Besinnung,f,no plural
Werbespot,m,Werbespots
Knechtschaft,f,Knechtschaften
Zahlmeister,m,Zahlmeister
Verdammnis,f,Verdammnisse
Kleber,m,Kleber
Seemann,m,Seeleute
Kenner,m,Kenner
Brustkorb,m,Brustkörbe
Diplomat,m,Diplomaten
Bagger,m,Bagger
Patenonkel,m,Patenonkel
Globus,m,Globen
Wildschwein,n,Wildschweine
Meteorit,m,Meteoriten
Puck,m,Pucks
Heiligkeit,f,Heiligkeiten
Kauderwelsch,n,no plural
Zyklop,m,Zyklopen
Aroma,n,Aromen
Meeting,n,Meetings
Segelboot,n,Segelboote
Untergeschoss,n,Untergeschosse
Verleihung,f,Verleihungen
Schwellung,f,Schwellungen
Wollust,f,Wollüste
Delirium,n,Delirien
Verleumdung,f,Verleumdungen
Hohn,m,no plural
Weihwasser,n,Weihwässer
Verdeck,n,Verdecke
Kinderheim,n,Kinderheime
Akkordeon,n,Akkordeons
Sondereinheit,f,Sondereinheiten
Schallplatte,f,Schallplatten
Pelzmantel,m,Pelzmäntel
Melancholie,f,Melancholien
Nullpunkt,m,Nullpunkte
Macker,m,Macker
Klaps,m,Klapse
Guru,m,Gurus
Brautkleid,n,Brautkleider
Beisein,n,no plural
Einhalt,m,no plural
Heuschrecke,f,Heuschrecken
Heiligtum,n,Heiligtümer
Brosche,f,Broschen
Funker,m,Funker
Wettrennen,n,Wettrennen
Rummel,m,Rummel
Giraffe,f,Giraffen
Flop,m,Flops
Triade,f,Triaden
Scheckbuch,n,Scheckbücher
Bankraub,m,Bankraube
Wimper,f,Wimpern
Deckname,m,Decknamen
Interpretation,f,Interpretationen
Spritzer,m,Spritzer
Erpresser,m,Erpresser
Kap,n,Kaps
Leichtigkeit,f,no plural
Etikette,f,no plural
Lack,m,Lacke
Bombardierung,f,Bombardierungen
Schar,f,Scharen
Lockvogel,m,Lockvögel
Badehose,f,Badehosen
Einlage,f,Einlagen
Pfahl,m,Pfähle
Beinbruch,m,Beinbrüche
Postfach,n,Postfächer
Umwandlung,f,Umwandlungen
Verpackung,f,Verpackungen
Zeppelin,m,Zeppeline
Rittmeister,m,Rittmeister
Todestag,m,Todestage
Werfer,m,Werfer
Schachzug,m,Schachzüge
Drecksloch,n,Dreckslöcher
Variante,f,Varianten
Vorkommnis,n,Vorkommnisse
Diagramm,n,Diagramme
Detonation,f,Detonationen
Fahrwerk,n,Fahrwerke
Aal,m,Aale
Abstecher,m,Abstecher
Abweichung,f,Abweichungen
Abführmittel,n,Abführmittel
Administration,f,Administrationen
Affentheater,n,Affentheater
Aktivierung,f,Aktivierungen
Abreibung,f,Abreibungen
Allee,f,Alleen
Alleinsein,n,no plural
Abschlag,m,Abschläge
Allgemeinheit,f,Allgemeinheiten
Abschrift,f,Abschriften
Absprache,f,Absprachen
Altenheim,n,Altenheime
Analytiker,m,Analytiker
Anarchist,m,Anarchisten
Anbeginn,m,no plural
Anbruch,m,Anbrüche
Anstandsdame,f,Anstandsdamen
Anstoß,m,Anstöße
Ansturm,m,Anstürme
Anus,m,Ani
Apartment,n,Apartments
Apfelsaft,m,Apfelsäfte
Archäologe,m,Archäologen
Areal,n,Areale
Argentinier,m,Argentinier
Ärgernis,n,Ärgernisse
Arier,m,Arier
Armaturenbrett,n,Armaturenbretter
Armenhaus,n,Armenhäuser
Asphalt,m,Asphalte
Angelrute,f,Angelruten
Ankläger,m,Ankläger
Attest,n,Atteste
Auffahrt,f,Auffahrten
Aufforderung,f,Aufforderungen
Aufgebot,n,Aufgebote
Aufbruch,m,Aufbrüche
Anomalie,f,Anomalien
Anprobe,f,Anproben
Ansammlung,f,Ansammlungen
Anschreiben,n,Anschreiben
Anschrift,f,Anschriften
Anspielung,f,Anspielungen
Aufkleber,m,Aufkleber
Aufmachung,f,Aufmachungen
Auspuff,m,Auspuffe
Aufrührer,m,Aufrührer
Autoradio,n,Autoradios
Autoreifen,m,Autoreifen
Autorennen,n,Autorennen
Ausbruch,m,Ausbrüche
Ausfall,m,Ausfälle
Bandage,f,Bandagen
Banknote,f,Banknoten
Bankwesen,n,no plural
Ausgrabung,f,Ausgrabungen
Aufschrift,f,Aufschriften
Aufstand,m,Aufstände
Augapfel,m,Augäpfel
Auktionator,m,Auktionatoren
Ausguck,m,Ausgucke
Ausrottung,f,Ausrottungen
Australier,m,Australier
Baseballspiel,n,Baseballspiele
Aushilfe,f,Aushilfen
Auslieferung,f,Auslieferungen
Baustein,m,Bausteine
Beatmung,f,Beatmungen
Belegschaft,f,Belegschaften
Beduine,m,Beduinen
Befehlsgewalt,f,no plural
Begebenheit,f,Begebenheiten
Bergung,f,Bergungen
Bergwerk,n,Bergwerke
Beschaffenheit,f,Beschaffenheiten
Bescherung,f,Bescherungen
Beschuss,m,no plural
Beschwörung,f,Beschwörungen
Beseitigung,f,Beseitigungen
Besorgung,f,Besorgungen
Bestattung,f,Bestattungen
Bestrahlung,f,Bestrahlungen
Bestseller,m,Bestseller
Betäubung,f,Betäubungen
Bohne,f,Bohnen
Bombardement,n,Bombardements
Boutique,f,Boutiquen
Brandstifter,m,Brandstifter
Brandung,f,Brandungen
Brauch,m,Bräuche
Bräune,f,no plural
Brautpaar,n,Brautpaare
Brennholz,n,Brennhölzer
Brennstoff,m,Brennstoffe
Briefkasten,m,Briefkästen
Broschüre,f,Broschüren
Bruchlandung,f,Bruchlandungen
Brunch,m,Brunche
Bügel,m,Bügel
Busch,m,Büsche
Bußgeld,n,Bußgelder
Cabaret,n,Cabarets
Campingplatz,m,Campingplätze
Chloroform,n,no plural
Cholesterin,n,no plural
Chorgesang,m,Chorgesänge
Clique,f,Cliquen
Comeback,n,Comebacks
Betrug,m,Betrüge
Bettlaken,n,Bettlaken
Bettwäsche,f,Bettwäschen
Beunruhigung,f,Beunruhigungen
Bewässerung,f,Bewässerungen
Bienenstock,m,Bienenstöcke
Billion,f,Billionen
Blazer,m,Blazer
Dissertation,f,Dissertationen
Dampfer,m,Dampfer
Dämpfer,m,Dämpfer
Diva,f,Diven
Doktorarbeit,f,Doktorarbeiten
Doktortitel,m,Doktortitel
Däne,m,Dänen
Darsteller,m,Darsteller
Dozent,m,Dozenten
Drachen,m,Drachen
Deckmantel,m,Deckmäntel
Deck,n,Decks
Drehbuch,n,Drehbücher
Delegation,f,Delegationen
Drogerie,f,Drogerien
Diener,m,Diener
Diktator,m,Diktatoren
Diplomatie,f,no plural
Denkzettel,m,Denkzettel
Drüse,f,Drüsen
Derby,n,Derbys
Duett,n,Duette
Dunst,m,Dünste
Duplikat,n,Duplikate
Diakon,m,Diakone
Dialyse,f,Dialysen
Durchführung,f,Durchführungen
Einöde,f,Einöden
Einsturz,m,Einstürze
Einweisung,f,Einweisungen
